Year,Revenue,Change
2025,$34.63 B,34.34%
2024,$25.78 B,13.69%
2023,$22.68 B,-3.9%
2022,$23.60 B,43.61%
2021,$16.43 B,68.33%
2020,$9.76 B,45.05%
2019,$6.73 B,3.95%
2018,$6.47 B,20.06%
2017,$5.39 B,26.24%
2016,$4.27 B,7.04%
2015,$3.99 B,-27.52%
2014,$5.50 B,3.91%
2013,$5.29 B,-2.27%
2012,$5.42 B,-17.45%
2011,$6.56 B,1.14%
2010,$6.49 B,20.19%
2009,$5.40 B,-8%
2008,$5.87 B,-1.11%
2007,$5.93 B,5.13%
2006,$5.64 B,-3.39%
2005,$5.84 B,16.92%
2004,$5.00 B,42.12%
2003,$3.51 B,30.48%
2002,$2.69 B,-30.7%
2001,$3.89 B,-16.2%
2000,$4.64 B,62.52%
1999,$2.85 B,12.41%
1998,$2.54 B,7.88%
1997,$2.35 B,20.65%
1996,$1.95 B,
